time,residue,iterations
0,3.48474e-06,396
0,3.56928e-06,373
0.0490874,3.54287e-06,373
0.0981748,3.5292e-06,373
0.147262,3.51118e-06,373
0.19635,3.47881e-06,373
time,residue,iterations
0,3.33128e-06,418
0,3.49862e-06,399
0.0490874,3.49011e-06,399
0.0981748,3.48207e-06,399
0.147262,3.47378e-06,399
0.19635,3.45692e-06,399
0.245437,3.44823e-06,399
0.294524,3.4509e-06,399
0.343612,3.47285e-06,399
0.392699,3.49948e-06,399
0.441786,3.51285e-06,399
0.490874,3.52976e-06,399
0.539961,3.55263e-06,399
0.589049,3.5693e-06,399
0.638136,3.57643e-06,399
0.687223,3.58086e-06,399
0.736311,3.58875e-06,399
0.785398,3.59808e-06,399
0.834486,3.23262e-06,400
0.883573,3.58777e-06,399
0.93266,3.57141e-06,399
0.981748,3.52649e-06,399
1.03084,3.49844e-06,399
1.07992,3.46138e-06,399
1.12901,3.41433e-06,399
1.1781,3.3496e-06,399
1.22718,3.31165e-06,399
1.27627,3.26138e-06,399
1.32536,3.2455e-06,399
1.37445,3.59225e-06,398
1.42353,3.26599e-06,399
1.47262,3.34827e-06,399
1.52171,3.44487e-06,399
1.5708,3.53056e-06,399
1.61988,3.28516e-06,400
1.66897,3.33095e-06,400
1.71806,3.3525e-06,400
1.76715,3.35962e-06,400
1.81623,3.32606e-06,400
1.86532,3.28603e-06,400
1.91441,3.56486e-06,399
1.9635,3.52547e-06,399
2.01258,3.49154e-06,399
2.06167,3.474e-06,399
2.11076,3.47238e-06,399
2.15984,3.46841e-06,399
2.20893,3.46226e-06,399
2.25802,3.45519e-06,399
2.30711,3.44995e-06,399
2.35619,3.46288e-06,399
2.40528,3.46206e-06,399
2.45437,3.43214e-06,399
2.50346,3.39908e-06,399
2.55254,3.3754e-06,399
2.60163,3.35988e-06,399
2.65072,3.3315e-06,399
2.69981,3.31551e-06,399
2.74889,3.30586e-06,399
2.79798,3.33309e-06,399
2.84707,3.37607e-06,399
2.89616,3.42462e-06,399
2.94524,3.47345e-06,399
2.99433,3.50327e-06,399
3.04342,3.51592e-06,399
3.09251,3.51071e-06,399
3.14159,3.49472e-06,399
3.19068,3.4683e-06,399
3.23977,3.45303e-06,399
3.28885,3.4461e-06,399
3.33794,3.44214e-06,399
3.38703,3.46842e-06,399
3.43612,3.49043e-06,399
3.4852,3.49511e-06,399
3.53429,3.49705e-06,399
3.58338,3.50249e-06,399
3.63247,3.52356e-06,399
3.68155,3.55739e-06,399
3.73064,3.58808e-06,399
3.77973,3.24609e-06,400
3.82882,3.61382e-06,399
3.8779,3.59361e-06,399
3.92699,3.53681e-06,399
3.97608,3.47274e-06,399
4.02517,3.41436e-06,399
4.07425,3.40126e-06,399
4.12334,3.40153e-06,399
4.17243,3.4102e-06,399
4.22152,3.43909e-06,399
4.2706,3.49132e-06,399
4.31969,3.53221e-06,399
4.36878,3.57056e-06,399
4.41786,3.59535e-06,399
4.46695,3.61703e-06,399
4.51604,3.24379e-06,400
4.56513,3.23153e-06,400
4.61421,3.56658e-06,399
4.6633,3.52664e-06,399
4.71239,3.50286e-06,399
4.76148,3.49774e-06,399
4.81056,3.52774e-06,399
4.85965,3.57099e-06,399
time,residue,iterations
time,residue,iterations
0,3.37613e-06,628
0,3.48012e-06,552
time,residue,iterations
0,nan,230
time,residue,iterations
0,nan,230
time,residue,iterations
0,nan,230
0,nan,211
0.05,nan,252
0.1,4.09557e-07,296
0.15,nan,262
0.2,4.21452e-07,296
0.25,nan,1
0.3,4.45832e-07,305
0.35,nan,1
0.4,nan,1
0.45,3.93806e-07,309
0.5,4.50822e-07,296
time,residue,iterations
0,nan,250
time,residue,iterations
time,residue,iterations
time,residue,iterations
0,4.36928e-07,339
0,4.32905e-07,297
0.05,4.07627e-07,298
0.1,4.20243e-07,298
0.15,nan,0
0.2,nan,0
0.25,nan,0
0.3,nan,0
0.35,nan,1
0.4,nan,1
time,residue,iterations
0,nan,224
0,4.3291e-07,297
time,residue,iterations
0,4.37614e-07,339
time,residue,iterations
0,9.38426e-11,231
0,9.52201e-11,209
time,residue,iterations
0,9.59876e-11,124
0,8.00877e-11,119
0.05,7.79705e-11,119
0.1,7.57584e-11,119
0.15,7.37321e-11,119
0.2,7.54642e-11,119
0.25,9.89889e-11,118
0.3,9.46642e-11,118
0.35,9.68123e-11,118
0.4,9.87277e-11,118
0.45,7.71666e-11,119
0.5,8.0238e-11,119
0.55,8.49133e-11,119
0.6,8.65764e-11,119
0.65,8.84425e-11,119
0.7,8.90998e-11,119
0.75,8.92961e-11,119
0.8,8.80341e-11,119
0.85,8.88462e-11,119
0.9,8.92314e-11,119
0.95,9.13969e-11,119
1,9.07678e-11,119
1.05,8.82902e-11,119
1.1,8.76778e-11,119
1.15,8.75585e-11,119
1.2,8.54674e-11,119
1.25,8.34598e-11,119
1.3,8.13452e-11,119
1.35,7.75082e-11,119
1.4,7.76171e-11,119
1.45,7.93281e-11,119
1.5,7.94863e-11,119
1.55,8.16931e-11,119
1.6,8.1311e-11,119
1.65,8.5192e-11,119
1.7,8.94268e-11,119
1.75,8.72406e-11,119
1.8,9.02305e-11,119
1.85,9.04246e-11,119
1.9,9.15763e-11,119
1.95,9.22859e-11,119
2,8.87482e-11,119
2.05,8.7856e-11,119
2.1,8.86644e-11,119
2.15,8.74632e-11,119
2.2,8.47523e-11,119
2.25,8.25274e-11,119
2.3,8.0842e-11,119
2.35,8.20997e-11,119
2.4,8.10063e-11,119
2.45,7.78236e-11,119
2.5,7.50816e-11,119
2.55,9.85116e-11,118
2.6,9.94735e-11,118
2.65,9.56996e-11,118
2.7,9.87613e-11,118
2.75,9.40239e-11,118
2.8,9.77589e-11,118
2.85,8.2009e-11,119
2.9,8.35298e-11,119
2.95,8.73978e-11,119
3,9.20883e-11,119
3.05,9.45066e-11,119
3.1,9.25337e-11,119
3.15,9.4585e-11,119
3.2,9.33429e-11,119
3.25,9.27628e-11,119
3.3,9.20178e-11,119
3.35,9.12633e-11,119
3.4,9.00215e-11,119
3.45,8.75839e-11,119
3.5,8.72555e-11,119
3.55,8.63658e-11,119
3.6,8.73644e-11,119
3.65,9.01127e-11,119
3.7,9.13875e-11,119
3.75,9.13671e-11,119
3.8,9.02913e-11,119
3.85,9.05101e-11,119
3.9,8.9859e-11,119
3.95,8.91576e-11,119
4,8.74334e-11,119
4.05,8.63404e-11,119
4.1,8.49488e-11,119
4.15,8.2869e-11,119
4.2,8.19765e-11,119
4.25,7.8452e-11,119
4.3,7.43729e-11,119
4.35,7.5102e-11,119
4.4,7.58899e-11,119
4.45,7.24837e-11,119
4.5,7.54211e-11,119
4.55,7.67811e-11,119
4.6,7.74407e-11,119
4.65,7.86424e-11,119
4.7,8.04167e-11,119
4.75,8.19974e-11,119
4.8,8.37916e-11,119
4.85,8.29136e-11,119
4.9,8.54199e-11,119
4.95,8.51826e-11,119
time,residue,iterations
0,9.59876e-11,124
0,8.00877e-11,119
0.05,7.79705e-11,119
0.1,7.57584e-11,119
0.15,7.37321e-11,119
0.2,7.54642e-11,119
0.25,9.89889e-11,118
0.3,9.46642e-11,118
0.35,9.68123e-11,118
0.4,9.87277e-11,118
0.45,7.71666e-11,119
0.5,8.0238e-11,119
0.55,8.49133e-11,119
0.6,8.65764e-11,119
0.65,8.84425e-11,119
0.7,8.90998e-11,119
0.75,8.92961e-11,119
0.8,8.80341e-11,119
0.85,8.88462e-11,119
0.9,8.92314e-11,119
0.95,9.13969e-11,119
1,9.07678e-11,119
1.05,8.82902e-11,119
1.1,8.76778e-11,119
1.15,8.75585e-11,119
1.2,8.54674e-11,119
1.25,8.34598e-11,119
1.3,8.13452e-11,119
1.35,7.75082e-11,119
1.4,7.76171e-11,119
1.45,7.93281e-11,119
1.5,7.94863e-11,119
1.55,8.16931e-11,119
1.6,8.1311e-11,119
1.65,8.5192e-11,119
1.7,8.94268e-11,119
1.75,8.72406e-11,119
1.8,9.02305e-11,119
1.85,9.04246e-11,119
1.9,9.15763e-11,119
1.95,9.22859e-11,119
2,8.87482e-11,119
2.05,8.7856e-11,119
2.1,8.86644e-11,119
2.15,8.74632e-11,119
2.2,8.47523e-11,119
2.25,8.25274e-11,119
2.3,8.0842e-11,119
2.35,8.20997e-11,119
2.4,8.10063e-11,119
2.45,7.78236e-11,119
2.5,7.50816e-11,119
2.55,9.85116e-11,118
2.6,9.94735e-11,118
2.65,9.56996e-11,118
2.7,9.87613e-11,118
2.75,9.40239e-11,118
2.8,9.77589e-11,118
2.85,8.2009e-11,119
2.9,8.35298e-11,119
2.95,8.73978e-11,119
3,9.20883e-11,119
3.05,9.45066e-11,119
3.1,9.25337e-11,119
3.15,9.4585e-11,119
3.2,9.33429e-11,119
3.25,9.27628e-11,119
3.3,9.20178e-11,119
3.35,9.12633e-11,119
3.4,9.00215e-11,119
3.45,8.75839e-11,119
3.5,8.72555e-11,119
3.55,8.63658e-11,119
3.6,8.73644e-11,119
3.65,9.01127e-11,119
3.7,9.13875e-11,119
3.75,9.13671e-11,119
3.8,9.02913e-11,119
3.85,9.05101e-11,119
3.9,8.9859e-11,119
3.95,8.91576e-11,119
4,8.74334e-11,119
4.05,8.63404e-11,119
4.1,8.49488e-11,119
4.15,8.2869e-11,119
4.2,8.19765e-11,119
4.25,7.8452e-11,119
4.3,7.43729e-11,119
4.35,7.5102e-11,119
4.4,7.58899e-11,119
4.45,7.24837e-11,119
4.5,7.54211e-11,119
4.55,7.67811e-11,119
4.6,7.74407e-11,119
4.65,7.86424e-11,119
4.7,8.04167e-11,119
4.75,8.19974e-11,119
4.8,8.37916e-11,119
4.85,8.29136e-11,119
4.9,8.54199e-11,119
4.95,8.51826e-11,119
time,residue,iterations
0,9.35786e-11,253
0,9.43941e-11,240
0.05,9.31317e-11,240
0.1,8.98256e-11,240
0.15,8.63433e-11,240
0.2,8.41369e-11,240
0.25,9.87507e-11,239
0.3,8.40836e-11,240
0.35,9.96268e-11,239
0.4,8.8333e-11,240
0.45,9.06367e-11,240
0.5,9.40326e-11,240
0.55,9.88419e-11,240
0.6,8.53591e-11,241
0.65,8.65735e-11,241
0.7,8.59745e-11,241
0.75,8.74696e-11,241
0.8,8.8695e-11,241
0.85,8.76405e-11,241
0.9,8.71194e-11,241
0.95,8.59051e-11,241
1,9.97381e-11,240
1.05,9.92469e-11,240
1.1,9.7295e-11,240
1.15,9.59341e-11,240
1.2,9.58128e-11,240
1.25,9.47246e-11,240
1.3,9.462e-11,240
1.35,9.37474e-11,240
1.4,9.32553e-11,240
1.45,9.29828e-11,240
1.5,9.45235e-11,240
1.55,9.52619e-11,240
1.6,9.56858e-11,240
1.65,9.61528e-11,240
1.7,9.80725e-11,240
1.75,8.50326e-11,241
1.8,8.62792e-11,241
1.85,8.94788e-11,241
1.9,8.92143e-11,241
1.95,9.0067e-11,241
2,9.13047e-11,241
2.05,9.0741e-11,241
2.1,8.88303e-11,241
2.15,8.82723e-11,241
2.2,8.59543e-11,241
2.25,9.95969e-11,240
2.3,9.66739e-11,240
2.35,9.43989e-11,240
2.4,9.47293e-11,240
2.45,9.21369e-11,240
2.5,9.04143e-11,240
2.55,9.05985e-11,240
2.6,8.7328e-11,240
2.65,8.49218e-11,240
2.7,9.97777e-11,239
2.75,9.93947e-11,239
2.8,9.74831e-11,239
2.85,9.53577e-11,239
2.9,9.51467e-11,239
2.95,9.62058e-11,239
3,9.51689e-11,239
3.05,9.65596e-11,239
3.1,8.6611e-11,240
3.15,9.14226e-11,240
3.2,9.23747e-11,240
3.25,9.57007e-11,240
3.3,9.82665e-11,240
3.35,9.56264e-11,240
3.4,9.47516e-11,240
3.45,9.45441e-11,240
3.5,9.30769e-11,240
3.55,9.31169e-11,240
3.6,9.32004e-11,240
