time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 1.1374745988e+03 2.0347407353e+01
4.9087385212e-02 1.1337368388e+03 2.1127279583e+01
9.8174770425e-02 1.1324086149e+03 2.0993271282e+01
1.4726215564e-01 1.1355477939e+03 2.4852250880e+01
1.9634954085e-01 1.1270988123e+03 2.0490263789e+01
2.4543692606e-01 1.1202924596e+03 2.0356950705e+01
time, Ex_field_energy, Ex_max_norm
0.0000000000e+00 1.1374745988e+03 2.0347407356e+01
4.9087385212e-02 1.1337368388e+03 2.1127279585e+01
9.8174770425e-02 1.1324086149e+03 2.0993271282e+01
1.4726215564e-01 1.1355477939e+03 2.4852250879e+01
1.9634954085e-01 1.1270988122e+03 2.0490263789e+01
2.4543692606e-01 1.1202924595e+03 2.0356950683e+01
2.9452431127e-01 1.1249814424e+03 2.1056399718e+01
3.4361169649e-01 1.1230470221e+03 2.1069627949e+01
3.9269908170e-01 1.1223631482e+03 2.0198491038e+01
4.4178646691e-01 1.1200306891e+03 2.3904074690e+01
4.9087385212e-01 1.1193863349e+03 2.0512800280e+01
5.3996123734e-01 1.1147937384e+03 1.9889306335e+01
5.8904862255e-01 1.1182512648e+03 2.0701312780e+01
6.3813600776e-01 1.0963643803e+03 2.0418242752e+01
6.8722339297e-01 1.0952052575e+03 1.9937440015e+01
7.3631077819e-01 1.0892215866e+03 2.4170173278e+01
7.8539816340e-01 1.0938422779e+03 2.0305479891e+01
8.3448554861e-01 1.0869149286e+03 2.0938197177e+01
8.8357293382e-01 1.0825052042e+03 1.9968477610e+01
9.3266031903e-01 1.0793651404e+03 2.1124036447e+01
9.8174770425e-01 1.0819378915e+03 2.8040323258e+01
1.0308350895e+00 1.0777332281e+03 2.0783746148e+01
1.0799224747e+00 1.0834697007e+03 2.4879244964e+01
1.1290098599e+00 1.0882755863e+03 2.2141514232e+01
1.1780972451e+00 1.0845490381e+03 2.3744756143e+01
1.2271846303e+00 1.0823014699e+03 2.1494769973e+01
1.2762720155e+00 1.0815871046e+03 2.0883632004e+01
