method,value_type,kernel_width,rho,best_tile_x,best_tile_y,best_tile_z,best_team_size,best_oversubscription_factor,best_z_batches,throughput_Mpts_s,time_ms,kernel_evaluations,preflight_rejections
Atomic,real,1,0.5000,1,1,1,32,1,1,416.37,0.0000,0,0
Tiled,real,1,0.5000,8,8,8,256,4,1,51.23,0.0000,0,0
OutputFocused,real,1,0.5000,4,4,4,64,2,4,52.85,0.0000,0,0
Atomic,real,2,0.5000,1,1,1,32,1,1,480.19,0.0000,0,0
Tiled,real,2,0.5000,3,3,3,256,2,1,61.43,0.0000,0,0
OutputFocused,real,2,0.5000,3,3,3,128,2,1,52.94,0.0000,0,0
Atomic,real,1,2.0000,1,1,1,32,1,1,1146.92,0.0000,0,0
Tiled,real,1,2.0000,8,8,8,256,2,1,230.55,0.0000,0,0
OutputFocused,real,1,2.0000,4,4,4,64,2,1,144.48,0.0000,0,0
Atomic,real,2,2.0000,1,1,1,32,1,1,1148.75,0.0000,0,0
Tiled,real,2,2.0000,8,8,8,64,2,1,231.07,0.0000,0,0
OutputFocused,real,2,2.0000,3,3,3,512,2,4,144.57,0.0000,0,0
Atomic,real,1,8.0000,1,1,1,32,1,1,1773.39,0.0000,0,0
Tiled,real,1,8.0000,5,5,5,32,1,1,751.49,0.0000,0,0
OutputFocused,real,1,8.0000,3,3,3,256,2,2,275.07,0.0000,0,0
Atomic,real,2,8.0000,1,1,1,32,1,1,1775.55,0.0000,0,0
Tiled,real,2,8.0000,2,2,2,32,1,1,751.90,0.0000,0,0
OutputFocused,real,2,8.0000,5,5,5,512,2,1,275.26,0.0000,0,0
Atomic,real,1,32.0000,1,1,1,32,1,1,1970.77,0.0000,0,0
Tiled,real,1,32.0000,3,3,3,256,4,1,1585.16,0.0000,0,0
OutputFocused,real,1,32.0000,5,5,5,256,1,8,290.20,0.0000,0,0
Atomic,real,2,32.0000,1,1,1,32,1,1,1972.10,0.0000,0,0
Tiled,real,2,32.0000,2,2,2,32,2,1,1585.62,0.0000,0,0
OutputFocused,real,2,32.0000,2,2,2,512,4,4,290.62,0.0000,0,0
Atomic,real,1,0.5000,1,1,1,32,1,1,1481.88,0.0000,0,0
Tiled,real,1,0.5000,4,4,4,32,4,1,230.66,0.0000,0,0
OutputFocused,real,1,0.5000,4,4,4,256,2,8,190.32,0.0000,0,0
Atomic,real,2,0.5000,1,1,1,32,1,1,1482.70,0.0000,0,0
Tiled,real,2,0.5000,8,8,8,64,4,1,230.69,0.0000,0,0
OutputFocused,real,2,0.5000,6,6,6,512,2,4,190.30,0.0000,0,0
Atomic,real,1,2.0000,1,1,1,32,1,1,1962.43,0.0000,0,0
Tiled,real,1,2.0000,5,5,5,64,2,1,774.59,0.0000,0,0
OutputFocused,real,1,2.0000,2,2,2,64,2,1,399.12,0.0000,0,0
Atomic,real,2,2.0000,1,1,1,32,1,1,1947.85,0.0000,0,0
Tiled,real,2,2.0000,6,6,6,32,4,1,767.33,0.0000,0,0
OutputFocused,real,2,2.0000,5,5,5,512,4,2,397.68,0.0000,0,0
Atomic,real,1,8.0000,1,1,1,32,1,1,1990.66,0.0000,0,0
Tiled,real,1,8.0000,2,2,2,256,1,1,1630.76,0.0000,0,0
OutputFocused,real,1,8.0000,6,6,6,128,4,2,464.03,0.0000,0,0
Atomic,real,2,8.0000,1,1,1,32,1,1,1910.28,0.0000,0,0
Tiled,real,2,8.0000,2,2,2,64,1,1,1592.81,0.0000,0,0
OutputFocused,real,2,8.0000,4,4,4,128,4,2,464.54,0.0000,0,0
