num_gpus,num_nodes,num_concurrent_ffts,fwd_full_mean_ms,fwd_full_min_ms,fwd_full_max_ms,fwd_pruned_mean_ms,fwd_pruned_min_ms,fwd_pruned_max_ms,fwd_speedup,bwd_full_mean_ms,bwd_full_min_ms,bwd_full_max_ms,bwd_pruned_mean_ms,bwd_pruned_min_ms,bwd_pruned_max_ms,bwd_speedup,fwd_full_mem_mb,fwd_pruned_mem_mb,bwd_full_mem_mb,bwd_pruned_mem_mb
8,2,1,345.273,345.196,345.384,368.399,365.953,384.534,Pruned):,361.106,361.041,361.210,371.298,368.249,392.286,Pruned):,7168.000,8064.000,7168.000,8064.000
8,2,2,345.252,345.194,345.332,274.777,254.974,283.138,Pruned):,361.114,361.043,361.220,275.462,267.820,281.459,Pruned):,7168.000,8960.000,7168.000,8960.000
8,2,4,345.243,345.130,345.311,223.349,216.179,228.073,Pruned):,361.180,361.128,361.262,239.180,232.542,246.480,Pruned):,7168.000,10754.000,7168.000,10752.000
8,2,8,345.360,345.249,345.471,212.031,209.688,215.546,Pruned):,361.222,361.161,361.374,223.138,218.635,227.022,Pruned):,7168.000,14340.000,7168.000,14336.000
16,4,1,236.141,236.000,236.237,264.156,261.341,280.144,Pruned):,250.546,250.483,250.598,260.456,256.445,279.875,Pruned):,3584.000,4032.000,3584.000,4032.000
16,4,2,235.321,235.262,235.403,185.616,179.442,189.871,Pruned):,249.786,249.736,249.826,189.060,181.322,196.071,Pruned):,3584.000,4480.000,3584.000,4480.000
16,4,4,235.243,235.144,235.359,147.660,144.399,169.971,Pruned):,249.230,249.182,249.304,152.603,146.691,158.548,Pruned):,3584.000,5378.000,3584.000,5376.000
16,4,8,238.038,236.219,240.018,145.052,141.473,149.272,Pruned):,251.123,250.660,256.004,163.422,156.781,169.464,Pruned):,3584.000,7172.000,3584.000,7168.000
32,8,1,128.197,127.809,128.883,148.904,145.524,164.626,Pruned):,142.719,142.355,143.527,160.954,156.459,173.690,Pruned):,1792.000,2016.000,1792.000,2016.000
32,8,2,129.536,127.707,147.786,110.335,104.354,125.274,Pruned):,142.202,141.605,142.887,110.067,106.340,117.139,Pruned):,1792.000,2240.000,1792.000,2240.000
32,8,4,128.319,127.792,132.156,89.571,87.354,108.156,Pruned):,142.326,140.771,142.690,104.816,99.372,118.941,Pruned):,1792.000,2690.000,1792.000,2688.000
32,8,8,128.137,127.671,129.311,88.885,85.718,92.083,Pruned):,158.777,158.229,159.845,105.611,102.182,111.352,Pruned):,1792.000,3588.000,1792.000,3584.000
64,16,1,95.140,88.636,105.740,130.571,122.272,143.344,Pruned):,117.145,114.945,120.123,138.074,128.717,162.746,Pruned):,896.000,1008.000,896.000,1008.000
64,16,2,90.876,89.629,94.356,86.096,78.543,105.489,Pruned):,121.963,121.417,122.264,84.158,75.263,114.879,Pruned):,896.000,1120.000,896.000,1120.000
64,16,4,91.058,88.965,93.082,66.696,61.097,82.076,Pruned):,118.629,117.872,122.906,63.993,60.865,78.665,Pruned):,896.000,1346.000,896.000,1344.000
64,16,8,90.818,89.913,92.731,57.973,55.154,68.929,Pruned):,114.518,113.797,115.706,56.547,54.494,60.542,Pruned):,896.000,1796.000,896.000,1792.000
128,32,1,54.444,48.996,63.268,92.563,76.216,129.714,Pruned):,68.564,67.224,71.032,122.853,82.270,242.412,Pruned):,448.000,504.000,448.000,504.000
128,32,2,52.377,49.313,60.242,72.284,50.510,117.062,Pruned):,69.958,68.376,72.037,66.454,46.733,102.023,Pruned):,448.000,560.000,448.000,560.000
128,32,4,55.529,49.930,66.087,39.758,33.699,64.035,Pruned):,70.655,69.076,72.901,39.426,35.486,43.714,Pruned):,448.000,674.000,448.000,672.000
128,32,8,54.838,49.994,61.562,37.268,32.587,47.955,Pruned):,69.612,68.148,74.490,37.533,32.141,58.108,Pruned):,448.000,900.000,448.000,896.000
256,64,1,31.681,29.077,37.216,88.273,56.903,137.447,Pruned):,36.702,35.535,39.228,78.003,58.217,158.491,Pruned):,224.000,252.000,224.000,252.000
256,64,2,32.970,29.307,44.209,56.946,35.538,110.293,Pruned):,37.098,35.375,43.344,48.235,37.849,67.300,Pruned):,224.000,280.000,224.000,280.000
256,64,4,32.689,29.525,47.613,41.480,24.836,74.690,Pruned):,37.072,35.034,42.098,46.268,27.556,98.502,Pruned):,224.000,338.000,224.000,336.000
256,64,8,32.262,28.622,37.494,34.091,21.317,75.516,Pruned):,37.934,35.570,47.744,32.884,22.113,81.807,Pruned):,224.000,452.000,224.000,448.000
