                      ranks  Wall tot
=====================================
mainTimer...........      1     502.2

                      ranks  Wall max  Wall min  Wall avg
=========================================================
mainTimer...........      1     502.2     502.2     502.2
particlesCreation...      1    0.2413    0.2413    0.2413
dumpData............      1     1.547     1.547     1.547
kick................      1     1.374     1.374     1.374
drift...............      1    0.6939    0.6939    0.6939
particleBC..........      1    0.5018    0.5018    0.5018
initializeShapeFunc.      1   0.01085   0.01085   0.01085
NativeNUFFT::init...      1   0.08315   0.08315   0.08315
updateParticle......      1         0         0         0
ScatterPIFNUFFT.....      1     120.2     120.2     120.2
scatterKernel.......      1     93.83     93.83     93.83
TwiddleAdd..........      1      2.39      2.39      2.39
prunedFFT...........      1     24.78     24.78     24.78
subFFTs.............      1     22.33     22.33     22.33
GatherPIFNUFFT......      1     377.1     377.1     377.1
TwiddleMul..........      1         0         0         0
prunedIFFT..........      1     79.18     79.18     79.18
subIFFTs............      1     74.52     74.52     74.52
StridedWrite........      1     4.378     4.378     4.378
fillHalo............      1    0.5634    0.5634    0.5634
gatherKernel........      1     293.3     293.3     293.3
