grid,rho,tolerance,timer,run,time_s
64,10,1e-4,NativeNUFFT::init,0,0.002250469
64,10,1e-4,NativeNUFFT::init,1,0.001973996
64,10,1e-4,NativeNUFFT1,0,0.131328787
64,10,1e-4,NativeNUFFT1,1,0.005515215
64,10,1e-4,NativeNUFFT1,2,0.005496528
64,10,1e-4,NativeNUFFT1,3,0.005396595
64,10,1e-4,NativeNUFFT1,4,0.005463665
64,10,1e-4,NativeNUFFT1,5,0.005430514
64,10,1e-4,NativeNUFFT1,6,0.005429137
64,10,1e-4,NativeNUFFT1,7,0.0053517
64,10,1e-4,NativeNUFFT1,8,0.005403218
64,10,1e-4,NativeNUFFT1,9,0.005405874
64,10,1e-4,NativeNUFFT1,10,0.005423922
64,10,1e-4,NativeNUFFT1,11,0.005344853
64,10,1e-4,NativeNUFFT1,12,0.005347316
64,10,1e-4,NativeNUFFT1,13,0.005354421
64,10,1e-4,NativeNUFFT1,14,0.005318517
64,10,1e-4,NativeNUFFT1,15,0.005371411
64,10,1e-4,NativeNUFFT1,16,0.005381907
64,10,1e-4,NativeNUFFT1,17,0.005335892
64,10,1e-4,NativeNUFFT1,18,0.005321173
64,10,1e-4,NativeNUFFT1,19,0.005322101
64,10,1e-4,NativeNUFFT1,20,0.005366516
64,10,1e-4,NativeNUFFT1,21,0.005368851
64,10,1e-4,NativeNUFFT1,22,0.005322261
64,10,1e-4,NativeNUFFT1,23,0.00535026
64,10,1e-4,NativeNUFFT1,24,0.005337269
64,10,1e-4,scatterTimerNUFFT1,0,0.004997725
64,10,1e-4,scatterTimerNUFFT1,1,0.003570371
64,10,1e-4,scatterTimerNUFFT1,2,0.003561507
64,10,1e-4,scatterTimerNUFFT1,3,0.00354138
64,10,1e-4,scatterTimerNUFFT1,4,0.003535747
64,10,1e-4,scatterTimerNUFFT1,5,0.003538852
64,10,1e-4,scatterTimerNUFFT1,6,0.003547843
64,10,1e-4,scatterTimerNUFFT1,7,0.003544163
64,10,1e-4,scatterTimerNUFFT1,8,0.003540483
64,10,1e-4,scatterTimerNUFFT1,9,0.003538435
64,10,1e-4,scatterTimerNUFFT1,10,0.003539459
64,10,1e-4,scatterTimerNUFFT1,11,0.003530948
64,10,1e-4,scatterTimerNUFFT1,12,0.003517763
64,10,1e-4,scatterTimerNUFFT1,13,0.003513413
64,10,1e-4,scatterTimerNUFFT1,14,0.003517604
64,10,1e-4,scatterTimerNUFFT1,15,0.00351786
64,10,1e-4,scatterTimerNUFFT1,16,0.003516036
64,10,1e-4,scatterTimerNUFFT1,17,0.003513092
64,10,1e-4,scatterTimerNUFFT1,18,0.003523108
64,10,1e-4,scatterTimerNUFFT1,19,0.003514628
64,10,1e-4,scatterTimerNUFFT1,20,0.003516388
64,10,1e-4,scatterTimerNUFFT1,21,0.003518659
64,10,1e-4,scatterTimerNUFFT1,22,0.003508676
64,10,1e-4,scatterTimerNUFFT1,23,0.003521636
64,10,1e-4,scatterTimerNUFFT1,24,0.003516485
64,10,1e-4,scatterKernel,0,0.004929343
64,10,1e-4,scatterKernel,1,0.00352746
64,10,1e-4,scatterKernel,2,0.003520324
64,10,1e-4,scatterKernel,3,0.003501189
64,10,1e-4,scatterKernel,4,0.0034953
64,10,1e-4,scatterKernel,5,0.003498565
64,10,1e-4,scatterKernel,6,0.003507332
64,10,1e-4,scatterKernel,7,0.003504196
64,10,1e-4,scatterKernel,8,0.003500612
64,10,1e-4,scatterKernel,9,0.003497764
64,10,1e-4,scatterKernel,10,0.003499524
64,10,1e-4,scatterKernel,11,0.003490661
64,10,1e-4,scatterKernel,12,0.003477637
64,10,1e-4,scatterKernel,13,0.003473286
64,10,1e-4,scatterKernel,14,0.003477381
64,10,1e-4,scatterKernel,15,0.003477189
64,10,1e-4,scatterKernel,16,0.003475813
64,10,1e-4,scatterKernel,17,0.003472837
64,10,1e-4,scatterKernel,18,0.003482853
64,10,1e-4,scatterKernel,19,0.003474597
64,10,1e-4,scatterKernel,20,0.003476229
64,10,1e-4,scatterKernel,21,0.003478405
64,10,1e-4,scatterKernel,22,0.003468421
64,10,1e-4,scatterKernel,23,0.003481765
64,10,1e-4,scatterKernel,24,0.00347671
64,10,1e-4,scatterKernelSort,0,0.002139432
64,10,1e-4,scatterKernelSort,1,0.000756173
64,10,1e-4,scatterKernelSort,2,0.000746541
64,10,1e-4,scatterKernelSort,3,0.000744493
64,10,1e-4,scatterKernelSort,4,0.000736301
64,10,1e-4,scatterKernelSort,5,0.000746508
64,10,1e-4,scatterKernelSort,6,0.00074254
64,10,1e-4,scatterKernelSort,7,0.000745644
64,10,1e-4,scatterKernelSort,8,0.000739853
64,10,1e-4,scatterKernelSort,9,0.000745548
64,10,1e-4,scatterKernelSort,10,0.000742764
64,10,1e-4,scatterKernelSort,11,0.000741933
64,10,1e-4,scatterKernelSort,12,0.00073726
64,10,1e-4,scatterKernelSort,13,0.000740269
64,10,1e-4,scatterKernelSort,14,0.000738221
64,10,1e-4,scatterKernelSort,15,0.000745132
64,10,1e-4,scatterKernelSort,16,0.000735597
64,10,1e-4,scatterKernelSort,17,0.000740109
64,10,1e-4,scatterKernelSort,18,0.000745484
64,10,1e-4,scatterKernelSort,19,0.000740172
64,10,1e-4,scatterKernelSort,20,0.000737453
64,10,1e-4,scatterKernelSort,21,0.000742988
64,10,1e-4,scatterKernelSort,22,0.000734605
64,10,1e-4,scatterKernelSort,23,0.000743533
64,10,1e-4,scatterKernelSort,24,0.000733229
64,10,1e-4,binSort,0,0.001425018
64,10,1e-4,binSort,1,0.000746637
64,10,1e-4,binSort,2,0.000739949
64,10,1e-4,binSort,3,0.000738189
64,10,1e-4,binSort,4,0.000729901
64,10,1e-4,binSort,5,0.000740205
64,10,1e-4,binSort,6,0.0007355
64,10,1e-4,binSort,7,0.00073934
64,10,1e-4,binSort,8,0.000733517
64,10,1e-4,binSort,9,0.000739276
64,10,1e-4,binSort,10,0.000736493
64,10,1e-4,binSort,11,0.000735405
64,10,1e-4,binSort,12,0.000731053
64,10,1e-4,binSort,13,0.000733709
64,10,1e-4,binSort,14,0.000731917
64,10,1e-4,binSort,15,0.000738829
64,10,1e-4,binSort,16,0.000729197
64,10,1e-4,binSort,17,0.000733037
64,10,1e-4,binSort,18,0.000738477
64,10,1e-4,binSort,19,0.000733869
64,10,1e-4,binSort,20,0.000731181
64,10,1e-4,binSort,21,0.000735884
64,10,1e-4,binSort,22,0.000728269
64,10,1e-4,binSort,23,0.000737261
64,10,1e-4,binSort,24,0.000726925
64,10,1e-4,binZero,0,2.6431e-05
64,10,1e-4,binZero,1,2.2048e-05
64,10,1e-4,binZero,2,2.1888e-05
64,10,1e-4,binZero,3,2.0896e-05
64,10,1e-4,binZero,4,2.0799e-05
64,10,1e-4,binZero,5,2.2015e-05
64,10,1e-4,binZero,6,2.1887e-05
64,10,1e-4,binZero,7,2.1727e-05
64,10,1e-4,binZero,8,2.0351e-05
64,10,1e-4,binZero,9,2.2047e-05
64,10,1e-4,binZero,10,2.1759e-05
64,10,1e-4,binZero,11,2.2655e-05
64,10,1e-4,binZero,12,2.0895e-05
64,10,1e-4,binZero,13,2.224e-05
64,10,1e-4,binZero,14,2.1119e-05
64,10,1e-4,binZero,15,2.2399e-05
64,10,1e-4,binZero,16,2.1823e-05
64,10,1e-4,binZero,17,2.0448e-05
64,10,1e-4,binZero,18,2.1311e-05
64,10,1e-4,binZero,19,1.9903e-05
64,10,1e-4,binZero,20,2.3039e-05
64,10,1e-4,binZero,21,2.0799e-05
64,10,1e-4,binZero,22,2.1119e-05
64,10,1e-4,binZero,23,2.1727e-05
64,10,1e-4,binZero,24,2.0384e-05
64,10,1e-4,binCount,0,7.987e-05
64,10,1e-4,binCount,1,5.7694e-05
64,10,1e-4,binCount,2,5.603e-05
64,10,1e-4,binCount,3,5.7215e-05
64,10,1e-4,binCount,4,5.4335e-05
64,10,1e-4,binCount,5,5.5583e-05
64,10,1e-4,binCount,6,5.4942e-05
64,10,1e-4,binCount,7,5.4751e-05
64,10,1e-4,binCount,8,5.5231e-05
64,10,1e-4,binCount,9,5.4527e-05
64,10,1e-4,binCount,10,5.4655e-05
64,10,1e-4,binCount,11,5.3983e-05
64,10,1e-4,binCount,12,5.4943e-05
64,10,1e-4,binCount,13,5.6862e-05
64,10,1e-4,binCount,14,5.4879e-05
64,10,1e-4,binCount,15,5.4207e-05
64,10,1e-4,binCount,16,5.5167e-05
64,10,1e-4,binCount,17,5.4782e-05
64,10,1e-4,binCount,18,5.4143e-05
64,10,1e-4,binCount,19,5.4527e-05
64,10,1e-4,binCount,20,5.5487e-05
64,10,1e-4,binCount,21,5.4591e-05
64,10,1e-4,binCount,22,5.4015e-05
64,10,1e-4,binCount,23,5.4847e-05
64,10,1e-4,binCount,24,5.4494e-05
64,10,1e-4,binScan,0,0.001149985
64,10,1e-4,binScan,1,0.000524882
64,10,1e-4,binScan,2,0.00052133
64,10,1e-4,binScan,3,0.000519666
64,10,1e-4,binScan,4,0.000516114
64,10,1e-4,binScan,5,0.00052501
64,10,1e-4,binScan,6,0.000520819
64,10,1e-4,binScan,7,0.00052485
64,10,1e-4,binScan,8,0.000518418
64,10,1e-4,binScan,9,0.00052085
64,10,1e-4,binScan,10,0.000523186
64,10,1e-4,binScan,11,0.000519122
64,10,1e-4,binScan,12,0.000516562
64,10,1e-4,binScan,13,0.000515923
64,10,1e-4,binScan,14,0.000516562
64,10,1e-4,binScan,15,0.000524178
64,10,1e-4,binScan,16,0.00051237
64,10,1e-4,binScan,17,0.000520146
64,10,1e-4,binScan,18,0.000524146
64,10,1e-4,binScan,19,0.000521266
64,10,1e-4,binScan,20,0.000514354
64,10,1e-4,binScan,21,0.000522866
64,10,1e-4,binScan,22,0.000515314
64,10,1e-4,binScan,23,0.000522898
64,10,1e-4,binScan,24,0.000513459
64,10,1e-4,binPlacement,0,0.000144797
64,10,1e-4,binPlacement,1,0.000130461
64,10,1e-4,binPlacement,2,0.000129565
64,10,1e-4,binPlacement,3,0.000129565
64,10,1e-4,binPlacement,4,0.000127581
64,10,1e-4,binPlacement,5,0.000127293
64,10,1e-4,binPlacement,6,0.000127356
64,10,1e-4,binPlacement,7,0.000127644
64,10,1e-4,binPlacement,8,0.000127773
64,10,1e-4,binPlacement,9,0.000131421
64,10,1e-4,binPlacement,10,0.000126525
64,10,1e-4,binPlacement,11,0.000129181
64,10,1e-4,binPlacement,12,0.000128157
64,10,1e-4,binPlacement,13,0.000128316
64,10,1e-4,binPlacement,14,0.000128925
64,10,1e-4,binPlacement,15,0.000127581
64,10,1e-4,binPlacement,16,0.000127997
64,10,1e-4,binPlacement,17,0.000127197
64,10,1e-4,binPlacement,18,0.000128509
64,10,1e-4,binPlacement,19,0.000127709
64,10,1e-4,binPlacement,20,0.000127869
64,10,1e-4,binPlacement,21,0.000127196
64,10,1e-4,binPlacement,22,0.000127357
64,10,1e-4,binPlacement,23,0.000127421
64,10,1e-4,binPlacement,24,0.000128124
64,10,1e-4,accumulateHaloNUFFT1,0,7.315e-05
