method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
Tiled,uniform,1,2,2097152,128,1.0,33.8033,0.0462,33.7556,33.8543,33.7955,62.04,16.12,ok
OutputFocused,uniform,1,2,2097152,128,1.0,31.9349,0.0910,31.8219,32.0426,31.9110,65.67,15.23,ok
Tiled,uniform,2,2,2097152,128,1.0,4.6868,0.0330,4.6653,4.7444,4.6729,447.46,2.23,ok
OutputFocused,uniform,2,2,2097152,128,1.0,4.7758,0.0319,4.7465,4.8302,4.7682,439.12,2.28,ok
Tiled,uniform,3,2,2097152,128,1.0,1.7872,0.0069,1.7787,1.7945,1.7860,1173.45,0.85,ok
OutputFocused,uniform,3,2,2097152,128,1.0,2.2488,0.0072,2.2399,2.2575,2.2503,932.58,1.07,ok
Tiled,uniform,4,2,2097152,128,1.0,1.0495,0.0028,1.0458,1.0530,1.0503,1998.20,0.50,ok
OutputFocused,uniform,4,2,2097152,128,1.0,1.5802,0.0049,1.5737,1.5852,1.5808,1327.13,0.75,ok
Tiled,uniform,5,2,2097152,128,1.0,0.8479,0.0029,0.8448,0.8524,0.8469,2473.39,0.40,ok
OutputFocused,uniform,5,2,2097152,128,1.0,1.7360,0.0055,1.7302,1.7433,1.7337,1208.04,0.83,ok
Tiled,uniform,6,2,2097152,128,1.0,0.8028,0.0062,0.7950,0.8119,0.8026,2612.38,0.38,ok
OutputFocused,uniform,6,2,2097152,128,1.0,1.7730,0.0106,1.7580,1.7845,1.7767,1182.83,0.85,ok
Tiled,uniform,7,2,2097152,128,1.0,0.7875,0.0029,0.7855,0.7926,0.7862,2662.97,0.38,ok
OutputFocused,uniform,7,2,2097152,128,1.0,1.9547,0.0170,1.9363,1.9776,1.9475,1072.85,0.93,ok
Tiled,uniform,8,2,2097152,128,1.0,0.8754,0.0018,0.8731,0.8772,0.8760,2395.69,0.42,ok
OutputFocused,uniform,8,2,2097152,128,1.0,2.2522,0.0196,2.2347,2.2849,2.2442,931.17,1.07,ok
Tiled,uniform,1,3,2097152,128,1.0,37.5241,0.0238,37.4903,37.5524,37.5197,55.89,17.89,ok
OutputFocused,uniform,1,3,2097152,128,1.0,32.9617,0.0396,32.9154,33.0156,32.9664,63.62,15.72,ok
Tiled,uniform,2,3,2097152,128,1.0,5.5711,0.0781,5.4971,5.6867,5.5849,376.44,2.66,ok
OutputFocused,uniform,2,3,2097152,128,1.0,5.1655,0.0592,5.1036,5.2370,5.1409,405.99,2.46,ok
Tiled,uniform,3,3,2097152,128,1.0,2.2150,0.0077,2.2061,2.2245,2.2147,946.81,1.06,ok
OutputFocused,uniform,3,3,2097152,128,1.0,2.5628,0.0046,2.5570,2.5690,2.5633,818.31,1.22,ok
Tiled,uniform,4,3,2097152,128,1.0,1.4631,0.0064,1.4564,1.4716,1.4644,1433.39,0.70,ok
OutputFocused,uniform,4,3,2097152,128,1.0,2.0966,0.0064,2.0882,2.1043,2.0973,1000.25,1.00,ok
Tiled,uniform,5,3,2097152,128,1.0,1.4081,0.0070,1.4001,1.4159,1.4113,1489.34,0.67,ok
OutputFocused,uniform,5,3,2097152,128,1.0,2.2646,0.0070,2.2544,2.2730,2.2647,926.05,1.08,ok
Tiled,uniform,6,3,2097152,128,1.0,1.3820,0.0064,1.3714,1.3869,1.3853,1517.53,0.66,ok
OutputFocused,uniform,6,3,2097152,128,1.0,2.2926,0.0089,2.2821,2.3067,2.2919,914.75,1.09,ok
Tiled,uniform,7,3,2097152,128,1.0,1.5516,0.0113,1.5413,1.5647,1.5475,1351.62,0.74,ok
OutputFocused,uniform,7,3,2097152,128,1.0,2.4919,0.0151,2.4775,2.5138,2.4929,841.60,1.19,ok
Tiled,uniform,8,3,2097152,128,1.0,1.7323,0.0092,1.7245,1.7453,1.7279,1210.62,0.83,ok
OutputFocused,uniform,8,3,2097152,128,1.0,3.1366,0.0030,3.1328,3.1408,3.1368,668.60,1.50,ok
Tiled,uniform,1,4,2097152,128,1.0,48.1782,0.0602,48.1201,48.2764,48.1677,43.53,22.97,ok
OutputFocused,uniform,1,4,2097152,128,1.0,34.5872,0.0465,34.5210,34.6395,34.5964,60.63,16.49,ok
Tiled,uniform,2,4,2097152,128,1.0,8.0829,0.0690,8.0367,8.1996,8.0485,259.46,3.85,ok
OutputFocused,uniform,2,4,2097152,128,1.0,5.5579,0.0269,5.5183,5.5932,5.5573,377.33,2.65,ok
Tiled,uniform,3,4,2097152,128,1.0,3.5479,0.0073,3.5382,3.5586,3.5476,591.09,1.69,ok
OutputFocused,uniform,3,4,2097152,128,1.0,3.1039,0.0052,3.0988,3.1111,3.1020,675.65,1.48,ok
Tiled,uniform,4,4,2097152,128,1.0,2.7544,0.0029,2.7511,2.7570,2.7556,761.37,1.31,ok
OutputFocused,uniform,4,4,2097152,128,1.0,3.6315,0.0048,3.6242,3.6377,3.6320,577.48,1.73,ok
Tiled,uniform,5,4,2097152,128,1.0,2.4270,0.0094,2.4150,2.4377,2.4240,864.09,1.16,ok
OutputFocused,uniform,5,4,2097152,128,1.0,2.7383,0.0136,2.7245,2.7553,2.7320,765.86,1.31,ok
Tiled,uniform,6,4,2097152,128,1.0,2.7091,0.0137,2.6934,2.7312,2.7065,774.12,1.29,ok
OutputFocused,uniform,6,4,2097152,128,1.0,2.9730,0.0052,2.9665,2.9785,2.9729,705.40,1.42,ok
Tiled,uniform,7,4,2097152,128,1.0,3.3728,0.0171,3.3527,3.3932,3.3803,621.78,1.61,ok
OutputFocused,uniform,7,4,2097152,128,1.0,3.4774,0.0049,3.4718,3.4835,3.4766,603.08,1.66,ok
Tiled,uniform,8,4,2097152,128,1.0,4.4322,0.0149,4.4184,4.4533,4.4278,473.16,2.11,ok
OutputFocused,uniform,8,4,2097152,128,1.0,4.3661,0.0060,4.3578,4.3719,4.3672,480.33,2.08,ok
