method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
Tiled,uniform,1,2,20971520,128,10.0,303.4212,2.9389,299.0986,309.1674,303.4400,69.12,14.47,ok
OutputFocused,uniform,1,2,20971520,128,10.0,331.6565,3.2019,327.9776,336.7516,331.1208,63.23,15.81,ok
Tiled,uniform,2,2,20971520,128,10.0,52.3578,0.3667,51.5724,52.8917,52.4399,400.54,2.50,ok
OutputFocused,uniform,2,2,20971520,128,10.0,86.9008,0.4013,86.3019,87.7705,86.8215,241.33,4.14,ok
Tiled,uniform,3,2,20971520,128,10.0,25.0852,0.1487,24.8882,25.3699,25.1023,836.01,1.20,ok
OutputFocused,uniform,3,2,20971520,128,10.0,60.2643,0.1149,60.0972,60.4576,60.2695,347.99,2.87,ok
Tiled,uniform,4,2,20971520,128,10.0,17.0351,0.0687,16.9101,17.1845,17.0550,1231.08,0.81,ok
OutputFocused,uniform,4,2,20971520,128,10.0,57.1728,0.1637,56.9111,57.5212,57.1329,366.81,2.73,ok
Tiled,uniform,5,2,20971520,128,10.0,14.2359,0.0649,14.1565,14.4020,14.2158,1473.14,0.68,ok
OutputFocused,uniform,5,2,20971520,128,10.0,69.4364,0.2606,69.0097,70.0453,69.4485,302.02,3.31,ok
Tiled,uniform,6,2,20971520,128,10.0,12.8792,0.0577,12.7836,13.0466,12.8790,1628.32,0.61,ok
OutputFocused,uniform,6,2,20971520,128,10.0,86.2168,0.3825,85.6764,87.0252,86.2321,243.24,4.11,ok
Tiled,uniform,7,2,20971520,128,10.0,12.2990,0.0524,12.2433,12.4791,12.2809,1705.14,0.59,ok
OutputFocused,uniform,7,2,20971520,128,10.0,111.1856,0.5087,110.6071,112.2745,111.0106,188.62,5.30,ok
Tiled,uniform,8,2,20971520,128,10.0,12.1676,0.0682,12.0884,12.3414,12.1431,1723.55,0.58,ok
OutputFocused,uniform,8,2,20971520,128,10.0,171.2554,0.2175,170.9458,171.8589,171.2169,122.46,8.17,ok
Tiled,uniform,9,2,20971520,128,10.0,14.1476,0.0495,14.0825,14.2988,14.1376,1482.34,0.67,ok
OutputFocused,uniform,9,2,20971520,128,10.0,250.9533,0.5369,250.2376,251.8498,250.6792,83.57,11.97,ok
Tiled,uniform,10,2,20971520,128,10.0,13.6870,0.0302,13.6441,13.7665,13.6880,1532.22,0.65,ok
OutputFocused,uniform,10,2,20971520,128,10.0,251.5872,0.7277,250.4237,252.5405,251.7422,83.36,12.00,ok
