tile_size,width_2,width_3,width_4,width_5,width_6,width_7,width_8
1,69.12,58.03,51.41,44.53,35.23,25.29,19.79
2,400.54,336.61,325.47,240.80,168.68,92.22,67.20
3,836.01,668.86,643.75,430.23,245.92,121.36,84.84
4,1231.08,901.15,885.73,529.73,271.96,123.24,78.97
5,1473.14,1015.92,953.35,537.10,262.57,112.77,70.94
6,1628.32,1057.80,867.97,506.20,229.32,89.00,63.90
7,1705.14,1063.81,764.02,438.57,174.10,90.83,36.84
8,1723.55,973.42,588.89,335.15,173.34,57.48,36.79
9,1482.34,755.24,586.21,186.47,102.03,58.64,nan
10,1532.22,451.70,340.82,188.96,105.43,57.46,nan
