num_ranks,grid_size,num_particles,transform_type,run_index,time_ms
2,8,5120,type1,0,792.801008
2,8,5120,type1,1,655.208406
2,8,5120,type1,2,815.984946
2,8,5120,type1,3,740.463773
2,8,5120,type1,4,744.529219
2,8,5120,type1,5,686.431343
2,8,5120,type1,6,692.553192
2,8,5120,type1,7,303.991762
2,8,5120,type1,8,710.278527
2,8,5120,type1,9,258.723113
2,8,5120,type2,0,1408.064448
2,8,5120,type2,1,1218.997021
2,8,5120,type2,2,1312.993707
2,8,5120,type2,3,1348.669397
2,8,5120,type2,4,1308.317575
2,8,5120,type2,5,1284.005970
2,8,5120,type2,6,1344.119332
2,8,5120,type2,7,1236.307598
2,8,5120,type2,8,1246.558052
2,8,5120,type2,9,1189.993716
