
================================================================================
Configuration: Grid=256^3, Particles=167772160 (10 per point)
================================================================================
  IPPL OutputFocused | Type 1 | Grid: 256^3 | Particles:  167772160 | Time:    335.935 ms | Throughput:   499.42 Mpts/s
          IPPL Tiled | Type 1 | Grid: 256^3 | Particles:  167772160 | Time:    778.000 ms | Throughput:   215.65 Mpts/s
         IPPL Atomic | Type 1 | Grid: 256^3 | Particles:  167772160 | Time:   3583.373 ms | Throughput:    46.82 Mpts/s
        kokkos_nufft | Type 1 | Grid: 256^3 | Particles:  167772160 | Time:   1188.218 ms | Throughput:   141.20 Mpts/s
           cuFINUFFT | Type 1 | Grid: 256^3 | Particles:  167772160 | Time:    708.805 ms | Throughput:   236.70 Mpts/s
          IPPL Tiled | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    518.543 ms | Throughput:   323.55 Mpts/s
         IPPL Atomic | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    681.065 ms | Throughput:   246.34 Mpts/s
    IPPL Atomic Sort | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    107.218 ms | Throughput:  1564.78 Mpts/s
         IPPL Native | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    180.809 ms | Throughput:   927.90 Mpts/s
        kokkos_nufft | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    275.117 ms | Throughput:   609.82 Mpts/s
           cuFINUFFT | Type 2 | Grid: 256^3 | Particles:  167772160 | Time:    132.291 ms | Throughput:  1268.20 Mpts/s


