method,distribution,tile_size,kernel_width,n_particles,n_grid,rho,mean_ms,stddev_ms,min_ms,max_ms,median_ms,throughput_Mpts_s,time_per_pt_ns,status
Tiled,uniform,1,2,20971520,128,10.0,43.0279,0.0698,42.9287,43.1216,43.0367,487.39,2.05,ok
OutputFocused,uniform,1,2,20971520,128,10.0,40.7084,0.0909,40.5909,40.8356,40.7106,515.16,1.94,ok
Tiled,uniform,2,2,20971520,128,10.0,8.3569,0.0567,8.2924,8.4463,8.3495,2509.49,0.40,ok
OutputFocused,uniform,2,2,20971520,128,10.0,12.6185,0.0646,12.5660,12.7174,12.5873,1661.97,0.60,ok
Tiled,uniform,3,2,20971520,128,10.0,4.5604,0.0065,4.5506,4.5675,4.5618,4598.57,0.22,ok
OutputFocused,uniform,3,2,20971520,128,10.0,9.8180,0.0115,9.8036,9.8324,9.8167,2136.02,0.47,ok
Tiled,uniform,4,2,20971520,128,10.0,3.7870,0.0085,3.7769,3.8002,3.7872,5537.70,0.18,ok
OutputFocused,uniform,4,2,20971520,128,10.0,9.3867,0.0298,9.3526,9.4327,9.3799,2234.18,0.45,ok
Tiled,uniform,5,2,20971520,128,10.0,4.0691,0.0051,4.0606,4.0732,4.0701,5153.78,0.19,ok
OutputFocused,uniform,5,2,20971520,128,10.0,13.1137,0.0130,13.0996,13.1279,13.1076,1599.21,0.63,ok
Tiled,uniform,6,2,20971520,128,10.0,4.5280,0.0063,4.5202,4.5375,4.5273,4631.50,0.22,ok
OutputFocused,uniform,6,2,20971520,128,10.0,15.3778,0.0538,15.2902,15.4292,15.3797,1363.76,0.73,ok
Tiled,uniform,7,2,20971520,128,10.0,5.0160,0.0042,5.0135,5.0234,5.0140,4180.91,0.24,ok
OutputFocused,uniform,7,2,20971520,128,10.0,18.2997,0.1651,18.1741,18.5876,18.2595,1146.00,0.87,ok
Tiled,uniform,8,2,20971520,128,10.0,6.3487,0.0146,6.3339,6.3703,6.3489,3303.26,0.30,ok
OutputFocused,uniform,8,2,20971520,128,10.0,21.3016,0.2187,21.0044,21.5788,21.2755,984.51,1.02,ok
Tiled,uniform,1,3,20971520,128,10.0,62.3573,0.1111,62.2401,62.5327,62.3245,336.31,2.97,ok
OutputFocused,uniform,1,3,20971520,128,10.0,46.8667,0.1166,46.6941,46.9592,46.9396,447.47,2.23,ok
Tiled,uniform,2,3,20971520,128,10.0,12.0721,0.0554,12.0088,12.1604,12.0572,1737.19,0.58,ok
OutputFocused,uniform,2,3,20971520,128,10.0,14.9992,0.0780,14.9146,15.0887,14.9881,1398.17,0.72,ok
Tiled,uniform,3,3,20971520,128,10.0,7.8182,0.0080,7.8072,7.8265,7.8167,2682.40,0.37,ok
OutputFocused,uniform,3,3,20971520,128,10.0,12.4692,0.0216,12.4509,12.4974,12.4561,1681.87,0.59,ok
Tiled,uniform,4,3,20971520,128,10.0,7.2759,0.0206,7.2562,7.3042,7.2739,2882.34,0.35,ok
OutputFocused,uniform,4,3,20971520,128,10.0,14.8167,0.0220,14.8026,14.8557,14.8076,1415.39,0.71,ok
Tiled,uniform,5,3,20971520,128,10.0,9.1110,0.0113,9.0941,9.1212,9.1134,2301.77,0.43,ok
OutputFocused,uniform,5,3,20971520,128,10.0,19.5987,0.1073,19.5099,19.7815,19.5686,1070.04,0.93,ok
Tiled,uniform,6,3,20971520,128,10.0,9.8407,0.0051,9.8335,9.8476,9.8400,2131.11,0.47,ok
OutputFocused,uniform,6,3,20971520,128,10.0,20.5297,0.1152,20.4548,20.7286,20.4680,1021.52,0.98,ok
Tiled,uniform,7,3,20971520,128,10.0,12.1423,0.0160,12.1180,12.1585,12.1430,1727.15,0.58,ok
OutputFocused,uniform,7,3,20971520,128,10.0,22.7310,0.1373,22.6262,22.9569,22.6564,922.60,1.08,ok
Tiled,uniform,8,3,20971520,128,10.0,14.3194,0.0192,14.3028,14.3525,14.3136,1464.55,0.68,ok
OutputFocused,uniform,8,3,20971520,128,10.0,29.3886,0.0671,29.3036,29.4779,29.4023,713.59,1.40,ok
Tiled,uniform,1,4,20971520,128,10.0,119.0295,0.0941,118.9654,119.1943,118.9971,176.19,5.68,ok
OutputFocused,uniform,1,4,20971520,128,10.0,47.3141,0.1381,47.1378,47.4684,47.3243,443.24,2.26,ok
Tiled,uniform,2,4,20971520,128,10.0,24.2974,0.0722,24.2153,24.3746,24.2999,863.12,1.16,ok
OutputFocused,uniform,2,4,20971520,128,10.0,18.8825,0.0840,18.7764,18.9915,18.9060,1110.63,0.90,ok
Tiled,uniform,3,4,20971520,128,10.0,18.7814,0.0132,18.7640,18.7942,18.7878,1116.61,0.90,ok
OutputFocused,uniform,3,4,20971520,128,10.0,17.7897,0.0213,17.7739,17.8136,17.7745,1178.86,0.85,ok
Tiled,uniform,4,4,20971520,128,10.0,18.3273,0.0253,18.2892,18.3537,18.3254,1144.28,0.87,ok
OutputFocused,uniform,4,4,20971520,128,10.0,30.0070,0.0391,29.9565,30.0618,30.0137,698.89,1.43,ok
Tiled,uniform,5,4,20971520,128,10.0,18.4541,0.0136,18.4382,18.4752,18.4519,1136.41,0.88,ok
OutputFocused,uniform,5,4,20971520,128,10.0,23.7303,0.0247,23.6976,23.7578,23.7321,883.74,1.13,ok
Tiled,uniform,6,4,20971520,128,10.0,22.1940,0.0299,22.1496,22.2294,22.1924,944.92,1.06,ok
OutputFocused,uniform,6,4,20971520,128,10.0,26.4177,0.0293,26.3891,26.4548,26.4157,793.84,1.26,ok
Tiled,uniform,7,4,20971520,128,10.0,29.0382,0.0120,29.0194,29.0519,29.0390,722.20,1.38,ok
OutputFocused,uniform,7,4,20971520,128,10.0,31.6289,0.0377,31.5756,31.6731,31.6415,663.05,1.51,ok
Tiled,uniform,8,4,20971520,128,10.0,41.1478,0.0376,41.1080,41.1901,41.1450,509.66,1.96,ok
OutputFocused,uniform,8,4,20971520,128,10.0,41.0374,0.0856,40.9454,41.1751,41.0270,511.03,1.96,ok
Tiled,uniform,1,5,20971520,128,10.0,232.4246,0.0263,232.3956,232.4576,232.4198,90.23,11.08,ok
OutputFocused,uniform,1,5,20971520,128,10.0,59.0191,0.1293,58.8939,59.2196,59.0285,355.33,2.81,ok
Tiled,uniform,2,5,20971520,128,10.0,56.0574,0.0453,56.0248,56.1341,56.0331,374.11,2.67,ok
OutputFocused,uniform,2,5,20971520,128,10.0,25.4325,0.0963,25.3347,25.5542,25.3822,824.60,1.21,ok
Tiled,uniform,3,5,20971520,128,10.0,47.9002,0.0167,47.8863,47.9274,47.8974,437.82,2.28,ok
OutputFocused,uniform,3,5,20971520,128,10.0,51.9893,0.0420,51.9305,52.0408,51.9819,403.38,2.48,ok
Tiled,uniform,4,5,20971520,128,10.0,32.9543,0.0541,32.8902,33.0309,32.9534,636.38,1.57,ok
OutputFocused,uniform,4,5,20971520,128,10.0,29.4110,0.0309,29.3663,29.4402,29.4079,713.05,1.40,ok
Tiled,uniform,5,5,20971520,128,10.0,37.6794,0.0141,37.6671,37.7034,37.6756,556.58,1.80,ok
OutputFocused,uniform,5,5,20971520,128,10.0,34.7730,0.0410,34.7249,34.8279,34.7735,603.10,1.66,ok
Tiled,uniform,6,5,20971520,128,10.0,47.6413,0.0538,47.5898,47.7243,47.6346,440.20,2.27,ok
OutputFocused,uniform,6,5,20971520,128,10.0,40.2478,0.0492,40.1806,40.3023,40.2677,521.06,1.92,ok
Tiled,uniform,7,5,20971520,128,10.0,62.4009,0.0801,62.3254,62.5142,62.3906,336.08,2.98,ok
OutputFocused,uniform,7,5,20971520,128,10.0,60.8974,0.1311,60.7139,61.0655,60.8784,344.37,2.90,ok
Tiled,uniform,8,5,20971520,128,10.0,87.0266,0.1030,86.8601,87.1244,87.0250,240.98,4.15,ok
OutputFocused,uniform,8,5,20971520,128,10.0,66.1659,0.0794,66.0860,66.2845,66.1558,316.95,3.16,ok
Tiled,uniform,1,6,20971520,128,10.0,373.6400,0.0747,373.5123,373.6942,373.6777,56.13,17.82,ok
OutputFocused,uniform,1,6,20971520,128,10.0,60.9422,0.4696,60.5073,61.6567,60.7058,344.12,2.91,ok
Tiled,uniform,2,6,20971520,128,10.0,99.0807,0.0600,99.0378,99.1858,99.0603,211.66,4.72,ok
OutputFocused,uniform,2,6,20971520,128,10.0,86.7724,0.1051,86.6728,86.9406,86.7464,241.68,4.14,ok
Tiled,uniform,3,6,20971520,128,10.0,65.0684,0.0365,65.0225,65.1032,65.0745,322.30,3.10,ok
OutputFocused,uniform,3,6,20971520,128,10.0,35.9001,0.0056,35.8911,35.9041,35.9033,584.16,1.71,ok
Tiled,uniform,4,6,20971520,128,10.0,58.8665,0.0276,58.8390,58.8982,58.8535,356.26,2.81,ok
OutputFocused,uniform,4,6,20971520,128,10.0,43.4258,0.1058,43.3090,43.5863,43.4018,482.93,2.07,ok
Tiled,uniform,5,6,20971520,128,10.0,71.5794,0.0433,71.5217,71.6234,71.6016,292.98,3.41,ok
OutputFocused,uniform,5,6,20971520,128,10.0,48.2119,0.0281,48.1871,48.2577,48.2076,434.99,2.30,ok
Tiled,uniform,6,6,20971520,128,10.0,94.8733,0.1016,94.7165,94.9627,94.9140,221.05,4.52,ok
OutputFocused,uniform,6,6,20971520,128,10.0,89.5459,0.0929,89.4197,89.6463,89.5503,234.20,4.27,ok
Tiled,uniform,7,6,20971520,128,10.0,116.0433,0.1639,115.8900,116.3094,115.9709,180.72,5.53,ok
OutputFocused,uniform,7,6,20971520,128,10.0,75.4499,0.0405,75.4205,75.5213,75.4364,277.95,3.60,ok
Tiled,uniform,8,6,20971520,128,10.0,147.8742,0.1160,147.7210,148.0342,147.8889,141.82,7.05,ok
OutputFocused,uniform,8,6,20971520,128,10.0,99.4393,0.0861,99.3161,99.5571,99.4432,210.90,4.74,ok
Tiled,uniform,1,7,20971520,128,10.0,901.0543,0.4527,900.6441,901.6052,900.7906,23.27,42.97,ok
OutputFocused,uniform,1,7,20971520,128,10.0,160.6593,0.1268,160.5304,160.8584,160.6643,130.53,7.66,ok
Tiled,uniform,2,7,20971520,128,10.0,230.4839,0.1456,230.2905,230.6222,230.5063,90.99,10.99,ok
OutputFocused,uniform,2,7,20971520,128,10.0,46.7642,0.0346,46.7279,46.8085,46.7507,448.45,2.23,ok
Tiled,uniform,3,7,20971520,128,10.0,146.1746,0.1990,145.9934,146.5143,146.1205,143.47,6.97,ok
OutputFocused,uniform,3,7,20971520,128,10.0,54.4293,0.0295,54.4032,54.4630,54.4158,385.30,2.60,ok
Tiled,uniform,4,7,20971520,128,10.0,134.5710,0.3192,134.1766,134.9731,134.6128,155.84,6.42,ok
OutputFocused,uniform,4,7,20971520,128,10.0,59.7665,0.0481,59.6954,59.8254,59.7747,350.89,2.85,ok
Tiled,uniform,5,7,20971520,128,10.0,156.5736,0.1249,156.3861,156.7097,156.5709,133.94,7.47,ok
OutputFocused,uniform,5,7,20971520,128,10.0,133.9792,0.1831,133.7911,134.2193,133.8940,156.53,6.39,ok
Tiled,uniform,6,7,20971520,128,10.0,181.9589,0.1638,181.7605,182.1522,182.0134,115.25,8.68,ok
OutputFocused,uniform,6,7,20971520,128,10.0,91.6837,0.0726,91.6078,91.7730,91.6814,228.74,4.37,ok
Tiled,uniform,7,7,20971520,128,10.0,219.5715,0.1712,219.3374,219.7713,219.5759,95.51,10.47,ok
OutputFocused,uniform,7,7,20971520,128,10.0,114.4137,0.0464,114.3725,114.4868,114.3920,183.30,5.46,ok
Tiled,uniform,8,7,20971520,128,10.0,nan,nan,nan,nan,nan,nan,nan,failed
OutputFocused,uniform,8,7,20971520,128,10.0,nan,nan,nan,nan,nan,nan,nan,failed
Tiled,uniform,1,8,20971520,128,10.0,1863.5420,0.1120,1863.4253,1863.6690,1863.5053,11.25,88.86,ok
OutputFocused,uniform,1,8,20971520,128,10.0,88.9443,0.1153,88.8527,89.1355,88.9077,235.78,4.24,ok
Tiled,uniform,2,8,20971520,128,10.0,405.3279,0.0719,405.2243,405.4106,405.3285,51.74,19.33,ok
