                      ranks  Wall tot
=====================================
total...............      8     109.2

                      ranks  Wall max  Wall min  Wall avg
=========================================================
total...............      8     109.2     109.1     109.1
findInternal........      8 8.199e-05 4.951e-05 6.533e-05
findPeriodic........      8 0.0001248  6.02e-05  8.12e-05
pushVelocity........      8     15.03     13.45      14.1
pushPosition........      8     18.37     18.16     18.26
solve...............      8     69.03     66.98     68.05
par2grid............      8     3.926     3.538      3.68
fillHalo............      8     2.439     2.342     2.386
gather..............      8    0.1444    0.1356    0.1399
particleBC..........      8    0.1565    0.1518     0.154
updateParticle......      8     12.46     12.41     12.45
locateParticles.....      8     11.98     11.16     11.58
neighborSearch......      8     1.011    0.8896    0.9457
nonNeighboringParti.      8   0.01199   0.01136   0.01164
sendPreprocess......      8     1.113    0.3346    0.7261
particleSend........      8   0.02682    0.0247   0.02552
particleDestroy.....      8   0.02234   0.02128   0.02178
particleRecv........      8   0.01135   0.01079   0.01109
scatter.............      8    0.1702    0.1592    0.1624
accumulateHalo......      8     2.477      2.41     2.443
